Route,Methods,File,Auth markers,Service imports,Contract imports
/api/v1/public/document-shares/[token]/download,POST,src/app/api/v1/public/document-shares/[token]/download/route.ts,handler/service policy,@/server/services/document-service,@/shared/contracts/documents
/api/v1/public/leads,POST,src/app/api/v1/public/leads/route.ts,handler/service policy,@/server/services/crm-service,@/shared/contracts/crm
/api/v1/public/leads/intake/[token],GET | POST,src/app/api/v1/public/leads/intake/[token]/route.ts,handler/service policy,@/server/services/crm-service,@/shared/contracts/crm
/api/v1/readiness,GET,src/app/api/v1/readiness/route.ts,handler/service policy,@/server/services/readiness,
/api/v1/research,GET | POST,src/app/api/v1/research/route.ts,requireSession,@/server/services/work-management-service,@/shared/contracts/work-management
/api/v1/research/[id],GET | PATCH | DELETE,src/app/api/v1/research/[id]/route.ts,requireSession,@/server/services/work-management-service,@/shared/contracts/work-management
/api/v1/settings,GET | PATCH,src/app/api/v1/settings/route.ts,requireSession,@/server/services/identity-service,@/shared/contracts/identity
/api/v1/settings/role-permissions,GET | PUT,src/app/api/v1/settings/role-permissions/route.ts,requireSession,@/server/services/identity-service,@/shared/contracts/identity
/api/v1/sop-templates,GET | POST,src/app/api/v1/sop-templates/route.ts,requireSession,@/server/services/work-management-service,@/shared/contracts/work-management
/api/v1/sop-templates/hearing-prep,POST,src/app/api/v1/sop-templates/hearing-prep/route.ts,requireSession,@/server/services/work-management-service,@/shared/contracts/work-management
/api/v1/sop-templates/run,POST,src/app/api/v1/sop-templates/run/route.ts,requireSession,@/server/services/work-management-service,@/shared/contracts/work-management
/api/v1/staff/content/blog-posts,GET | POST,src/app/api/v1/staff/content/blog-posts/route.ts,requireSession,@/server/services/cms-service,@/shared/contracts/cms
/api/v1/staff/content/blog-posts/[id],PATCH,src/app/api/v1/staff/content/blog-posts/[id]/route.ts,requireSession,@/server/services/cms-service,@/shared/contracts/cms
/api/v1/staff/content/blog-posts/[id]/submit,POST,src/app/api/v1/staff/content/blog-posts/[id]/submit/route.ts,requireSession,@/server/services/cms-service,@/shared/contracts/cms
/api/v1/staff/content/news,GET | POST,src/app/api/v1/staff/content/news/route.ts,requireSession,@/server/services/cms-service,@/shared/contracts/cms
/api/v1/staff/content/news/[id],PATCH,src/app/api/v1/staff/content/news/[id]/route.ts,requireSession,@/server/services/cms-service,@/shared/contracts/cms
/api/v1/staff/content/news/[id]/submit,POST,src/app/api/v1/staff/content/news/[id]/submit/route.ts,requireSession,@/server/services/cms-service,@/shared/contracts/cms
/api/v1/tasks,GET | POST,src/app/api/v1/tasks/route.ts,requireSession,@/server/services/work-management-service,@/shared/contracts/work-management
/api/v1/tasks/[id],GET | PATCH | DELETE,src/app/api/v1/tasks/[id]/route.ts,requireSession,@/server/services/work-management-service,@/shared/contracts/work-management
/api/v1/tasks/[id]/archive,POST,src/app/api/v1/tasks/[id]/archive/route.ts,requireSession,@/server/services/work-management-service,@/shared/contracts/work-management
/api/v1/tasks/[id]/comments,GET | POST,src/app/api/v1/tasks/[id]/comments/route.ts,requireSession,@/server/services/work-management-service,@/shared/contracts/work-management
/api/v1/tasks/[id]/restore,POST,src/app/api/v1/tasks/[id]/restore/route.ts,requireSession,@/server/services/work-management-service,@/shared/contracts/work-management
/api/v1/tasks/overdue-reminders,POST,src/app/api/v1/tasks/overdue-reminders/route.ts,requireSession,@/server/services/work-management-service,
/api/v1/tasks/workload,GET,src/app/api/v1/tasks/workload/route.ts,requireSession,@/server/services/work-management-service,
/api/v1/users,GET | POST,src/app/api/v1/users/route.ts,requireSession,@/server/services/identity-service,@/shared/contracts/identity
/api/v1/users/[userId],GET | PATCH | DELETE,src/app/api/v1/users/[userId]/route.ts,requireSession,@/server/services/identity-service,@/shared/contracts/identity
/api/v1/users/[userId]/avatar,GET,src/app/api/v1/users/[userId]/avatar/route.ts,requireSession,@/server/services/avatar-service,
/api/v1/users/[userId]/mfa,DELETE,src/app/api/v1/users/[userId]/mfa/route.ts,requireSession,@/server/services/identity-service,@/shared/contracts/identity
/api/v1/users/[userId]/password-reset,POST,src/app/api/v1/users/[userId]/password-reset/route.ts,requireSession,@/server/services/identity-service,@/shared/contracts/identity
/api/v1/users/[userId]/sessions,GET | DELETE,src/app/api/v1/users/[userId]/sessions/route.ts,requireSession,@/server/services/identity-service,@/shared/contracts/identity
/api/v1/users/directory,GET,src/app/api/v1/users/directory/route.ts,requireSession,@/server/services/identity-service,
/api/v1/users/me,GET | PATCH,src/app/api/v1/users/me/route.ts,requireSession,@/server/services/identity-service,@/shared/contracts/identity
/api/v1/users/me/audit-events,GET,src/app/api/v1/users/me/audit-events/route.ts,requireSession,@/server/services/identity-service,
/api/v1/users/me/avatar,DELETE,src/app/api/v1/users/me/avatar/route.ts,requireSession,@/server/services/avatar-service,
/api/v1/users/me/avatar-upload-intents,POST,src/app/api/v1/users/me/avatar-upload-intents/route.ts,requireSession,@/server/services/avatar-service,
/api/v1/users/me/avatar-upload-intents/[intentId]/complete,POST,src/app/api/v1/users/me/avatar-upload-intents/[intentId]/complete/route.ts,requireSession,@/server/services/avatar-service,
/api/v1/users/me/sessions/[sessionId],DELETE,src/app/api/v1/users/me/sessions/[sessionId]/route.ts,requireSession,@/server/services/identity-service,
/api/v1/version,GET,src/app/api/v1/version/route.ts,handler/service policy,,@/shared/contracts/operations
