Frontend file,Line,Usage,Endpoint,Convex export exists,Mock behavior,Unsafe cast,Decision,Status,Notes
src/pages/admin/AdminCMSCareers.tsx,19,useMutation,cms.updateCareer,yes,no explicit branch detected,no,migrate,inventoried,
src/pages/admin/AdminCMSCareers.tsx,20,useMutation,cms.deleteCareer,yes,no explicit branch detected,no,migrate,inventoried,
src/pages/admin/AdminCMSCareers.tsx,21,useMutation,cms.updateJobApplicationStatus,yes,no explicit branch detected,no,migrate,inventoried,
src/pages/admin/AdminCMSDashboard.tsx,52,useQuery,cms.getSettings,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSDashboard.tsx,53,useMutation,cms.updateSettings,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSNavigation.tsx,15,useQuery,cms.listNavigationLinks,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSNavigation.tsx,16,useQuery,cms.getSettings,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSNavigation.tsx,18,useMutation,cms.createNavigationLink,yes,no explicit branch detected,no,migrate,inventoried,
src/pages/admin/AdminCMSNavigation.tsx,19,useMutation,cms.updateNavigationLink,yes,no explicit branch detected,no,migrate,inventoried,
src/pages/admin/AdminCMSNavigation.tsx,20,useMutation,cms.deleteNavigationLink,yes,no explicit branch detected,no,migrate,inventoried,
src/pages/admin/AdminCMSNavigation.tsx,21,useMutation,cms.reorderNavigationLinks,yes,no explicit branch detected,no,migrate,inventoried,
src/pages/admin/AdminCMSNavigation.tsx,22,useMutation,cms.updateSettings,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSNews.tsx,15,useQuery,cms.listNewsAndAwards,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSNews.tsx,16,useMutation,cms.createNewsAndAward,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSNews.tsx,17,useMutation,cms.updateNewsAndAward,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSNews.tsx,18,useMutation,cms.deleteNewsAndAward,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSPracticeAreas.tsx,23,useQuery,cms.listPracticeAreas,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSPracticeAreas.tsx,24,useMutation,cms.createPracticeArea,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSPracticeAreas.tsx,25,useMutation,cms.updatePracticeArea,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSPracticeAreas.tsx,26,useMutation,cms.deletePracticeArea,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSResources.tsx,14,useQuery,cms.listResources,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSResources.tsx,15,useMutation,cms.createResource,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSResources.tsx,16,useMutation,cms.updateResource,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSResources.tsx,17,useMutation,cms.deleteResource,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSTeam.tsx,13,useQuery,users.listUsers,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSTeam.tsx,14,useMutation,users.createUser,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSTeam.tsx,15,useMutation,users.updateProfile,yes,heuristic match,no,migrate,inventoried,
