Table,Index,Unique,Columns/expression,Documented query pattern,Migration
case_team_members,case_team_members_user_idx,no,"firm_id,user_id",Firm-scoped case_team_members lookup by case,drizzle/0000_initial_mysql_schema.sql
cases,cases_firm_case_number_unique,yes,"firm_id,case_number",Enforce cases business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
cases,cases_firm_client_idx,no,"firm_id,client_id",Firm-scoped cases lookup by case,drizzle/0000_initial_mysql_schema.sql
cases,cases_firm_id_id_unique,yes,"firm_id, id",Enforce cases business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
cases,cases_firm_lawyer_idx,no,"firm_id,assigned_lawyer_id",Firm-scoped cases lookup by case,drizzle/0000_initial_mysql_schema.sql
cases,cases_firm_status_idx,no,"firm_id,status",Firm-scoped cases lookup by case,drizzle/0000_initial_mysql_schema.sql
cases,cases_legacy_convex_id_unique,yes,legacy_convex_id,Enforce cases business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
client_kyc_files,client_kyc_files_client_idx,no,"firm_id,client_id",Firm-scoped client_kyc_files lookup by client,drizzle/0000_initial_mysql_schema.sql
client_kyc_files,client_kyc_files_firm_id_id_unique,yes,"firm_id, id",Enforce client_kyc_files business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
client_kyc_files,client_kyc_files_legacy_convex_id_unique,yes,legacy_convex_id,Enforce client_kyc_files business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
client_kyc_files,client_kyc_files_storage_unique,yes,"firm_id,storage_id",Enforce client_kyc_files business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
client_kyc_upload_intents,client_kyc_upload_intents_client_idx,no,"firm_id,client_id",Firm-scoped client_kyc_upload_intents lookup by client,drizzle/0000_initial_mysql_schema.sql
client_kyc_upload_intents,client_kyc_upload_intents_firm_id_id_unique,yes,"firm_id, id",Enforce client_kyc_upload_intents business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
client_kyc_upload_intents,client_kyc_upload_intents_legacy_convex_id_unique,yes,legacy_convex_id,Enforce client_kyc_upload_intents business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
client_kyc_upload_intents,client_kyc_upload_intents_quarantine_key_unique,yes,quarantine_key,Enforce client_kyc_upload_intents business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
client_kyc_upload_intents,client_kyc_upload_intents_status_idx,no,"firm_id,status,expires_at",Firm-scoped client_kyc_upload_intents status queue or filter,drizzle/0000_initial_mysql_schema.sql
clients,clients_firm_id_id_unique,yes,"firm_id, id",Enforce clients business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
clients,clients_firm_kyc_status_idx,no,"firm_id,kyc_status",Firm-scoped clients status queue or filter,drizzle/0000_initial_mysql_schema.sql
clients,clients_firm_name_idx,no,"firm_id,full_name",Firm-scoped clients lookup by client,drizzle/0000_initial_mysql_schema.sql
clients,clients_firm_user_unique,yes,"firm_id,user_id",Enforce clients business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
clients,clients_legacy_convex_id_unique,yes,legacy_convex_id,Enforce clients business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
cms_asset_upload_intents,cms_asset_upload_intents_creator_idx,no,"firm_id,created_by",Documented operational lookup for cms_asset_upload_intents,drizzle/0000_initial_mysql_schema.sql
cms_asset_upload_intents,cms_asset_upload_intents_firm_id_id_unique,yes,"firm_id, id",Enforce cms_asset_upload_intents business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
cms_asset_upload_intents,cms_asset_upload_intents_firm_status_idx,no,"firm_id,status,expires_at",Firm-scoped cms_asset_upload_intents status queue or filter,drizzle/0000_initial_mysql_schema.sql
cms_asset_upload_intents,cms_asset_upload_intents_legacy_convex_id_unique,yes,legacy_convex_id,Enforce cms_asset_upload_intents business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
cms_asset_upload_intents,cms_asset_upload_intents_quarantine_key_unique,yes,quarantine_key,Enforce cms_asset_upload_intents business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
cms_settings,cms_settings_firm_id_id_unique,yes,"firm_id, id",Enforce cms_settings business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
cms_settings,cms_settings_firm_key_unique,yes,"firm_id,key",Enforce cms_settings business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
cms_settings,cms_settings_legacy_convex_id_unique,yes,legacy_convex_id,Enforce cms_settings business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
conflict_checks,conflict_checks_firm_checked_at_idx,no,"firm_id,checked_at",Documented operational lookup for conflict_checks,drizzle/0000_initial_mysql_schema.sql
conflict_checks,conflict_checks_firm_id_id_unique,yes,"firm_id, id",Enforce conflict_checks business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
conflict_checks,conflict_checks_firm_status_idx,no,"firm_id,status",Firm-scoped conflict_checks status queue or filter,drizzle/0000_initial_mysql_schema.sql
conflict_checks,conflict_checks_legacy_convex_id_unique,yes,legacy_convex_id,Enforce conflict_checks business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
dm_message_attachments,dm_message_attachments_firm_id_id_unique,yes,"firm_id, id",Enforce dm_message_attachments business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
dm_message_attachments,dm_message_attachments_legacy_convex_id_unique,yes,legacy_convex_id,Enforce dm_message_attachments business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
dm_message_attachments,dm_message_attachments_position_unique,yes,"firm_id,message_id,position",Enforce dm_message_attachments business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
dm_message_reads,dm_message_reads_firm_id_id_unique,yes,"firm_id, id",Enforce dm_message_reads business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
dm_message_reads,dm_message_reads_legacy_convex_id_unique,yes,legacy_convex_id,Enforce dm_message_reads business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
dm_message_reads,dm_message_reads_unique,yes,"firm_id,message_id,user_id",Enforce dm_message_reads business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
dm_message_reads,dm_message_reads_user_idx,no,"firm_id,user_id",Firm-scoped dm_message_reads lookup by responsible user,drizzle/0000_initial_mysql_schema.sql
dm_messages,dm_messages_firm_id_id_unique,yes,"firm_id, id",Enforce dm_messages business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
dm_messages,dm_messages_legacy_convex_id_unique,yes,legacy_convex_id,Enforce dm_messages business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
dm_messages,dm_messages_thread_created_idx,no,"firm_id,thread_id,created_at",Firm-scoped dm_messages status queue or filter,drizzle/0000_initial_mysql_schema.sql
dm_threads,dm_threads_firm_high_idx,no,"firm_id,user_high_id",Firm-scoped dm_threads status queue or filter,drizzle/0000_initial_mysql_schema.sql
dm_threads,dm_threads_firm_id_id_unique,yes,"firm_id, id",Enforce dm_threads business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
dm_threads,dm_threads_firm_low_idx,no,"firm_id,user_low_id",Firm-scoped dm_threads status queue or filter,drizzle/0000_initial_mysql_schema.sql
dm_threads,dm_threads_legacy_convex_id_unique,yes,legacy_convex_id,Enforce dm_threads business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
dm_threads,dm_threads_pair_unique,yes,"firm_id,user_low_id,user_high_id",Enforce dm_threads business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
document_scan_jobs,document_scan_jobs_available_idx,no,"status,available_at",Firm-scoped document_scan_jobs lookup by document,drizzle/0000_initial_mysql_schema.sql
document_scan_jobs,document_scan_jobs_firm_id_id_unique,yes,"firm_id, id",Enforce document_scan_jobs business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
document_scan_jobs,document_scan_jobs_intent_unique,yes,"firm_id,upload_intent_id",Enforce document_scan_jobs business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
document_scan_jobs,document_scan_jobs_legacy_convex_id_unique,yes,legacy_convex_id,Enforce document_scan_jobs business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
document_shares,document_shares_active_expiry_idx,no,"firm_id,is_active,expires_at",Firm-scoped document_shares status queue or filter,drizzle/0000_initial_mysql_schema.sql
document_shares,document_shares_firm_document_idx,no,"firm_id,document_id",Firm-scoped document_shares lookup by document,drizzle/0000_initial_mysql_schema.sql
document_shares,document_shares_firm_id_id_unique,yes,"firm_id, id",Enforce document_shares business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
document_shares,document_shares_legacy_convex_id_unique,yes,legacy_convex_id,Enforce document_shares business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
document_shares,document_shares_token_unique,yes,token,Enforce document_shares business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
document_tag_assignments,document_tag_assignments_firm_id_id_unique,yes,"firm_id, id",Enforce document_tag_assignments business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
document_tag_assignments,document_tag_assignments_legacy_convex_id_unique,yes,legacy_convex_id,Enforce document_tag_assignments business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
document_tag_assignments,document_tag_assignments_tag_idx,no,"firm_id,tag_id",Firm-scoped document_tag_assignments lookup by document,drizzle/0000_initial_mysql_schema.sql
document_tag_assignments,document_tag_assignments_unique,yes,"firm_id,document_id,tag_id",Enforce document_tag_assignments business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
document_tags,document_tags_firm_id_id_unique,yes,"firm_id, id",Enforce document_tags business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
document_tags,document_tags_firm_name_unique,yes,"firm_id,name",Enforce document_tags business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
document_tags,document_tags_legacy_convex_id_unique,yes,legacy_convex_id,Enforce document_tags business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
document_templates,document_templates_firm_id_id_unique,yes,"firm_id, id",Enforce document_templates business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
document_templates,document_templates_firm_title_unique,yes,"firm_id,title",Enforce document_templates business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
